PMID,Title,URL,Authors,Date,Year,Journal,Abstract
28840835,Skin innateimmuneresponseto flaviviralinfection.,https://pubmed.ncbi.nlm.nih.gov/28840835/,"Garcia M, Wehbe M, Lévêque N, Bodet C.",1/06/2017,2017,Eur Cytokine Netw,"""Skin is a complex organ and the largest interface of the human body exposed to numerous stress and pathogens. Skin is composed of different cell types that together perform essential functions such as pathogen sensing, barrier maintenance and immunity, at once providing the first line of defense against microbial infections and ensuring skin homeostasis. Being inoculated directly through the epidermis and the dermis during a vector blood meal, emerging Dengue, Zika and West Nile mosquito-borne viruses lead to the initiation of the innate immune response in resident skin cells and to the activation of dendritic cells, which migrate to the draining lymph node to elicit an adaptive response. This literature review aims to describe the inflammatory response and the innate immune signalization pathways involved in human skin cells during Dengue, Zika and West Nile virus infections."""
35632732,InnateImmuneResponsetoDengueVirus: Toll-like Receptors and AntiviralResponse.,https://pubmed.ncbi.nlm.nih.gov/35632732/,"Fernandes-Santos C, Azeredo EL.",7/05/2022,2022,Viruses,"""Dengue is a mosquito-borne viral disease caused by the dengue virus (DENV1-4). The clinical manifestations range from asymptomatic to life-threatening dengue hemorrhagic fever (DHF) and/or Dengue Shock Syndrome (DSS). Viral and host factors are related to the clinical outcome of dengue, although the disease pathogenesis remains uncertain. The innate antiviral response to DENV is implemented by a variety of immune cells and inflammatory mediators. Blood monocytes, dendritic cells (DCs) and tissue macrophages are the main target cells of DENV infection. These cells recognize pathogen-associated molecular patterns (PAMPs) through pattern recognition receptors (PRRs). Pathogen recognition is a critical step in eliciting the innate immune response. Toll-like receptors (TLRs) are responsible for the innate recognition of pathogens and represent an essential component of the innate and adaptive immune response. Ten different TLRs are described in humans, which are expressed in many different immune cells. The engagement of TLRs with viral PAMPs triggers downstream signaling pathways leading to the production of inflammatory cytokines, interferons (IFNs) and other molecules essential for the prevention of viral replication. Here, we summarize the crucial TLRs' roles in the antiviral innate immune response to DENV and their association with viral pathogenesis."""
36159640,Hostimmuneresponseagainst DENV and ZIKVinfections.,https://pubmed.ncbi.nlm.nih.gov/36159640/,"Sekaran SD, Ismail AA, Thergarajan G, Chandramathi S, Rahman SKH, Mani RR, Jusof FF, Lim YAL, Manikam R.",8/09/2022,2022,Front Cell Infect Microbiol,"""Dengue is a major public health concern, affecting almost 400 million people worldwide, with about 70% of the global burden of disease in Asia. Despite revised clinical classifications of dengue infections by the World Health Organization, the wide spectrum of the manifestations of dengue illness continues to pose challenges in diagnosis and patient management for clinicians. When the Zika epidemic spread through the American continent and then later to Africa and Asia in 2015, researchers compared the characteristics of the Zika infection to Dengue, considering both these viruses were transmitted primarily through the same vector, theAedes aegyptifemale mosquitoes. An important difference to note, however, was that the Zika epidemic diffused in a shorter time span compared to the persisting feature of Dengue infections, which is endemic in many Asian countries. As the pathogenesis of viral illnesses is affected by host immune responses, various immune modulators have been proposed as biomarkers to predict the risk of the disease progression to a severe form, at a much earlier stage of the illness. However, the findings for most biomarkers are highly discrepant between studies. Meanwhile, the cross-reactivity of CD8+ and CD4+ T cells response to Dengue and Zika viruses provide important clues for further development of potential treatments. This review discusses similarities between Dengue and Zika infections, comparing their disease transmissions and vectors involved, and both the innate and adaptive immune responses in these infections. Consideration of the genetic identity of both the Dengue and Zika flaviviruses as well as the cross-reactivity of relevant T cells along with the actions of CD4+ cytotoxic cells in these infections are also presented. Finally, a summary of the immune biomarkers that have been reported for dengue and Zika viral infections are discussed which may be useful indicators for future anti-viral targets or predictors for disease severity. Together, this information appraises the current understanding of both Zika and Dengue infections, providing insights for future vaccine design approaches against both viruses."""
20372965,Denguevirus life cycle: viral andhostfactors modulatinginfectivity.,https://pubmed.ncbi.nlm.nih.gov/20372965/,"Rodenhuis-Zybert IA, Wilschut J, Smit JM.",6/04/2010,2010,Cell Mol Life Sci,"""Dengue virus (DENV 1-4) represents a major emerging arthropod-borne pathogen. All four DENV serotypes are prevalent in the (sub) tropical regions of the world and infect 50-100 million individuals annually. Whereas the majority of DENV infections proceed asymptomatically or result in self-limited dengue fever, an increasing number of patients present more severe manifestations, such as dengue hemorrhagic fever and dengue shock syndrome. In this review we will give an overview of the infectious life cycle of DENV and will discuss the viral and host factors that are important in controlling DENV infection."""
30952515,Interleukin-1β Induces mtDNA Release to Activate InnateImmuneSignaling via cGAS-STING.,https://pubmed.ncbi.nlm.nih.gov/30952515/,"Aarreberg LD, Esser-Nobis K, Driscoll C, Shuvarikov A, Roby JA, Gale M Jr.",16/05/2019,2019,Mol Cell,"""Interleukin-1 beta (IL-1β) is a pleiotropic mediator of inflammation and is produced in response to a wide range of stimuli. During infection, IL-1β production occurs in parallel with the onset of innate antimicrobial defenses, but the contribution of IL-1β signaling to cell-intrinsic immunity is not defined. Here, we report that exogenous IL-1β induces interferon regulatory factor 3 (IRF3) activation in human myeloid, fibroblast, and epithelial cells. IRF3 activation by IL-1β is dependent upon the DNA-sensing pathway adaptor, stimulator of interferon genes (STING), through the recognition of cytosolic mtDNA by cyclic guanosine monophosphate (GMP)-AMP synthase (cGAS). IL-1β treatment results in interferon (IFN) production and activation of IFN signaling to direct a potent innate immune response that restricts dengue virus infection. This study identifies a new function for IL-1β in the onset or enhancement of cell-intrinsic immunity, with important implications for cGAS-STING in integrating inflammatory and microbial cues for host defense."""
30135238,Immuneresponses todenguevirus in the skin.,https://pubmed.ncbi.nlm.nih.gov/30135238/,"Rathore APS, St John AL.",,2018,Open Biol,"""Dengue virus (DENV) causes infection in humans and current estimates place 40% of the world population at risk for contracting disease. There are four DENV serotypes that induce a febrile illness, which can develop into a severe and life-threatening disease in some cases, characterized primarily by vascular dysregulation. As a mosquito-borne infection, the skin is the initial site of DENV inoculation and also where primary host immune responses are initiated. This review discusses the early immune response to DENV in the skin by both infection target cells such as dendritic cells and by immune sentinels such as mast cells. We provide an overview of the mechanisms of immune sensing and functional immune responses that have been shown to aid clearance of DENVin vivoFinally, we discuss factors that can influence the immune response to DENV in the skin, such as mosquito saliva, which is co-injected with virus during natural route infection, and pre-existing immunity to other DENV serotypes or to related flaviviruses."""
34211454,Prospective Artificial Intelligence to Dissect theDengueImmuneResponseand Discover Therapeutics.,https://pubmed.ncbi.nlm.nih.gov/34211454/,"Natali EN, Babrak LM, Miho E.",15/06/2021,2021,Front Immunol,"""Dengue virus (DENV) poses a serious threat to global health as the causative agent of dengue fever. The virus is endemic in more than 128 countries resulting in approximately 390 million infection cases each year. Currently, there is no approved therapeutic for treatment nor a fully efficacious vaccine. The development of therapeutics is confounded and hampered by the complexity of the immune response to DENV, in particular to sequential infection with different DENV serotypes (DENV1-5). Researchers have shown that the DENV envelope (E) antigen is primarily responsible for the interaction and subsequent invasion of host cells for all serotypes and can elicit neutralizing antibodies in humans. The advent of high-throughput sequencing and the rapid advancements in computational analysis of complex data, has provided tools for the deconvolution of the DENV immune response. Several types of complex statistical analyses, machine learning models and complex visualizations can be applied to begin answering questions about the B- and T-cell immune responses to multiple infections, antibody-dependent enhancement, identification of novel therapeutics and advance vaccine research."""
30113225,HostGenetic Polymorphisms Influencing Susceptibility toDengue.,https://pubmed.ncbi.nlm.nih.gov/30113225/,"Gupta S, Agarwal A, Biswas D.",16/08/2018,2018,DNA Cell Biol,"""Dengue is a pandemic-prone viral disease which is endemic in more than 100 countries and which puts half of the world's population at risk. While the disease presents as subclinical infection or mild fever in the majority of cases, approximately a quarter of the infected individuals experience severe forms of disease like dengue hemorrhagic fever/dengue shock syndrome that cause significant rates of mortality and morbidity. The pathogenesis of this differential outcome of infection is determined by a complex interplay of factors associated with the virus, vector, and host; much of which is not completely understood. In this review, we present an update on the various host genetic polymorphisms that have been reported to influence the susceptibility to dengue. For the convenience of discussion, we have categorized the genetic factors according to the different arms of the immune system with which the corresponding immune determinants are associated."""
31810760,Altered m6A Modification of Specific Cellular Transcripts Affects FlaviviridaeInfection.,https://pubmed.ncbi.nlm.nih.gov/31810760/,"Gokhale NS, McIntyre ABR, Mattocks MD, Holley CL, Lazear HM, Mason CE, Horner SM.",6/02/2020,2020,Mol Cell,"""The RNA modification N6-methyladenosine (m6A) modulates mRNA fate and thus affects many biological processes. We analyzed m6A across the transcriptome following infection by dengue virus (DENV), Zika virus (ZIKV), West Nile virus (WNV), and hepatitis C virus (HCV). We found that infection by these viruses in the Flaviviridae family alters m6A modification of specific cellular transcripts, including RIOK3 and CIRBP. During viral infection, the addition of m6A to RIOK3 promotes its translation, while loss of m6A in CIRBP promotes alternative splicing. Importantly, viral activation of innate immune sensing or the endoplasmic reticulum (ER) stress response contributes to the changes in m6A in RIOK3 or CIRBP, respectively. Further, several transcripts with infection-altered m6A profiles, including RIOK3 and CIRBP, encode proteins that influence DENV, ZIKV, and HCV infection. Overall, this work reveals that cellular signaling pathways activated during viral infection lead to alterations in m6A modification of host mRNAs to regulate infection."""
33224897,Mobilization and Activation of the InnateImmuneResponsetoDengueVirus.,https://pubmed.ncbi.nlm.nih.gov/33224897/,"King CA, Wegman AD, Endy TP.",3/11/2020,2020,Front Cell Infect Microbiol,"""Dengue virus is an important human pathogen, infecting an estimated 400 million individuals per year and causing symptomatic disease in a subset of approximately 100 million. Much of the effort to date describing the host response to dengue has focused on the adaptive immune response, in part because of the well-established roles of antibody-dependent enhancement and T cell original sin as drivers of severe dengue upon heterotypic secondary infection. However, the innate immune system is a crucial factor in the host response to dengue, as it both governs the fate and vigor of the adaptive immune response, and mediates the acute inflammatory response in tissues. In this review, we discuss the innate inflammatory response to dengue infection, focusing on the role of evolutionarily conserved innate immune cells, their effector functions, and clinical course."""
33194810,Antibody-Dependent Enhancement: A Challenge for Developing a SafeDengueVaccine.,https://pubmed.ncbi.nlm.nih.gov/33194810/,"Shukla R, Ramasamy V, Shanmugam RK, Ahuja R, Khanna N.",22/10/2020,2020,Front Cell Infect Microbiol,"""In 2019, the United States Food and Drug Administration accorded restricted approval to Sanofi Pasteur's Dengvaxia, a live attenuated vaccine (LAV) for dengue fever, a mosquito-borne viral disease, caused by four antigenically distinct dengue virus serotypes (DENV 1-4). The reason for this limited approval is the concern that this vaccine sensitized some of the dengue-naïve recipients to severe dengue fever. Recent knowledge about the nature of the immune response elicited by DENV viruses suggests that all LAVs have inherent capacity to predominantly elicit antibodies (Abs) against the pre-membrane (prM) and fusion loop epitope (FLE) of DENV. These antibodies are generally cross-reactive among DENV serotypes carrying a higher risk of promoting Antibody-Dependent Enhancement (ADE). ADE is a phenomenon in which suboptimal neutralizing or non-neutralizing cross-reactive antibodies bind to virus and facilitate Fcγ receptor mediated enhanced entry into host cells, followed by its replication, and thus increasing the cellular viral load. On the other hand, antibody responses directed against the host-cell receptor binding domain of DENV envelope domain-III (EDIII), exhibit a higher degree of type-specificity with lower potential of ADE. The challenges associated with whole DENV-based vaccine strategies necessitate re-focusing our attention toward the designed dengue vaccine candidates, capable of inducing predominantly type-specific immune responses. If the designed vaccines elicited predominantly EDIII-directed serotype specific antibodies in the absence of prM and FLE antibodies, this could avoid the ADE phenomenon largely associated with the prM and FLE antibodies. The generation of type-specific antibodies to each of the four DENV serotypes by the designed vaccines could avoid the immune evasion mechanisms of DENVs. For the enhanced vaccine safety, all dengue vaccine candidates should be assessed for the extent of type-specific (minimal ADE) vs. cross-reactive (ADE promoting) neutralizing antibodies. The type-specific EDIII antibodies may be more directly related to protection from disease in the absence of ADE promoted by the cross-reactive antibodies."""
17319164,A genomics approach to understandinghostresponseduringdengueinfection.,https://pubmed.ncbi.nlm.nih.gov/17319164/,"Hibberd ML, Ling L, Tolfvenstam T, Mitchell W, Wong C, Kuznetsov VA, George J, Ong SH, Ruan Y, Wei CL, Gu F, Fink J, Yip A, Liu W, Schreiber M, Vasudevan SG.",,2006,Novartis Found Symp,"""Dengue infection results in a wide clinical spectrum, ranging from asymptomatic, through fever (DF), to the life threatening complications haemorrhagic fever (DHF) and shock syndrome (DSS). Although we now understand that factors such as repeat infections and the type or magnitude of the host response are important in determining severity, the mechanisms of these actions remain largely unknown. Understanding this host-pathogen interaction may enable outcome prediction and new therapy options. Developments in biology now allow a 'systems approach' to be applied to this problem, utilizing whole genomes of both human and virus, in vitro and in vivo to enable a more complete picture of their interplay to be built up. We have developed a chip-based approach to viral sequencing, to increase efficiency and enable large numbers ofgenomes to be completed, together with a web-based interpretation tool. We have also applied human whole genome expression arrays (24000 genes) to characterize the types of host response made to infection and plan to investigate the role of host variation using human whole genome genetic association studies in the future. These technologies have identified novel host pathways involved in viral replication in vitro, and also host immune responses, such as the interferon signalling pathway, that are influenced by viral sequence. This data will be further refined through interlinking with similar data obtained from a large study of dengue patients, initiated in Singapore, that is able to look at the early host response to infection."""
25124542,Antibodyresponsetodenguevirus.,https://pubmed.ncbi.nlm.nih.gov/25124542/,"Cedillo-Barrón L, García-Cordero J, Bustos-Arriaga J, León-Juárez M, Gutiérrez-Castañeda B.",11/08/2014,2014,Microbes Infect,"""In this review, we discuss the current knowledge of the role of the antibody response against dengue virus and highlight novel insights into targets recognized by the human antibody response. We also discuss how the balance of pathological and protective antibody responses in the host critically influences clinical aspects of the disease."""
