PMID,Date of Publication,Title,Abstract,MeSH,sentences_list
22419801,2012 May,The magnitude of dengue virus NS1 protein secretion is strain dependent and does not correlate with severe pathologies in the mouse infection model.,"There are conflicting data on the relationship between the level of secreted NS1 (sNS1), viremia, and disease severity upon dengue virus (DENV) infection in the clinical setting, and therefore, we examined this relationship in the widely accepted AG129 mouse model. Because of the failure of a routinely used NS1 detection kit to detect sNS1 of the mouse-adapted DENV2 strain, we screened 15 previously undescribed NS1 monoclonal antibodies and developed a robust capture enzyme-linked immunosorbent assay (ELISA) with detection sensitivity at the low nanogram level (0.2 ng/ml) using recombinant baculovirus-expressed sNS1 as well as sNS1 that was immunoaffinity purified from the various DENV2 strains employed in this study. Using this test, we demonstrated that increased viremia paralleled severe pathologies; however, sNS1 level did not correlate with viremia or severity. Furthermore, among the DENV2 strains that were tested, the level of NS1 secretion did not correspond to virus replication rate in vitro, at the cellular level. Together, our data indicate that the magnitude of NS1 secretion appears to be strain dependent and does not correlate with viral virulence in the AG129 mouse model. Singapore, Singapore.","['Aedes', 'Animals', 'Cell Line', 'Dengue/*pathology/virology', 'Dengue Virus/classification/genetics/*metabolism/pathogenicity', 'Disease Models, Animal', 'Humans', 'Mice', 'Mice, 129 Strain', 'Species Specificity', 'Viral Nonstructural Proteins/genetics/*metabolism', 'Virulence']","['There are conflicting data on the relationship between the level of secreted NS1 (sNS1), viremia, and disease severity upon dengue virus (DENV) infection in the clinical setting, and therefore, we examined this relationship in the widely accepted AG129 mouse model.', 'Because of the failure of a routinely used NS1 detection kit to detect sNS1 of the mouse-adapted DENV2 strain, we screened 15 previously undescribed NS1 monoclonal antibodies and developed a robust capture enzyme-linked immunosorbent assay (ELISA) with detection sensitivity at the low nanogram level (0.2 ng/ml) using recombinant baculovirus-expressed sNS1 as well as sNS1 that was immunoaffinity purified from the various DENV2 strains employed in this study.', 'Using this test, we demonstrated that increased viremia paralleled severe pathologies; however, sNS1 level did not correlate with viremia or severity.', 'Furthermore, among the DENV2 strains that were tested, the level of NS1 secretion did not correspond to virus replication rate in vitro, at the cellular level.', 'Together, our data indicate that the magnitude of NS1 secretion appears to be strain dependent and does not correlate with viral virulence in the AG129 mouse model.', 'Singapore, Singapore.']"
25775415,2015 Mar,A crystal structure of the Dengue virus NS5 protein reveals a novel inter-domain interface essential for protein flexibility and virus replication.,"Flavivirus RNA replication occurs within a replication complex (RC) that assembles on ER membranes and comprises both non-structural (NS) viral proteins and host cofactors. As the largest protein component within the flavivirus RC, NS5 plays key enzymatic roles through its N-terminal methyltransferase (MTase) and C-terminal RNA-dependent-RNA polymerase (RdRp) domains, and constitutes a major target for antivirals. We determined a crystal structure of the full-length NS5 protein from Dengue virus serotype 3 (DENV3) at a resolution of 2.3 Å in the presence of bound SAH and GTP. Although the overall molecular shape of NS5 from DENV3 resembles that of NS5 from Japanese Encephalitis Virus (JEV), the relative orientation between the MTase and RdRp domains differs between the two structures, providing direct evidence for the existence of a set of discrete stable molecular conformations that may be required for its function. While the inter-domain region is mostly disordered in NS5 from JEV, the NS5 structure from DENV3 reveals a well-ordered linker region comprising a short 310 helix that may act as a swivel. Solution Hydrogen/Deuterium Exchange Mass Spectrometry (HDX-MS) analysis reveals an increased mobility of the thumb subdomain of RdRp in the context of the full length NS5 protein which correlates well with the analysis of the crystallographic temperature factors. Site-directed mutagenesis targeting the mostly polar interface between the MTase and RdRp domains identified several evolutionarily conserved residues that are important for viral replication, suggesting that inter-domain cross-talk in NS5 regulates virus replication. Collectively, a picture for the molecular origin of NS5 flexibility is emerging with profound implications for flavivirus replication and for the development of therapeutics targeting NS5. Singapore; NUS Graduate School for Integrative Sciences and Engineering, National University of Singapore, Singapore. Novartis Institute for Tropical Diseases, Singapore. Singapore. Singapore. Singapore. of Singapore, Singapore; Department of Biological Sciences, National University of Singapore, Singapore. UMRS CR7-CNRS ERL 8255-INSERM U1135 Centre d'Immunologie et des Maladies Infectieuses, Centre Hospitalier Universitaire Pitié-Salpêtrière, Faculté de Médecine Pierre et Marie Curie, Paris, France. Singapore; NUS Graduate School for Integrative Sciences and Engineering, National University of Singapore, Singapore.","['Crystallography, X-Ray', 'Dengue Virus/*chemistry/*physiology', 'Protein Structure, Tertiary', 'Viral Nonstructural Proteins/*chemistry/genetics/metabolism', 'Virus Replication/*physiology']","['Flavivirus RNA replication occurs within a replication complex (RC) that assembles on ER membranes and comprises both non-structural (NS) viral proteins and host cofactors.', 'As the largest protein component within the flavivirus RC, NS5 plays key enzymatic roles through its N-terminal methyltransferase (MTase) and C-terminal RNA-dependent-RNA polymerase (RdRp) domains, and constitutes a major target for antivirals.', 'We determined a crystal structure of the full-length NS5 protein from Dengue virus serotype 3 (DENV3) at a resolution of 2.3 Å in the presence of bound SAH and GTP.', 'Although the overall molecular shape of NS5 from DENV3 resembles that of NS5 from Japanese Encephalitis Virus (JEV), the relative orientation between the MTase and RdRp domains differs between the two structures, providing direct evidence for the existence of a set of discrete stable molecular conformations that may be required for its function.', 'While the inter-domain region is mostly disordered in NS5 from JEV, the NS5 structure from DENV3 reveals a well-ordered linker region comprising a short 310 helix that may act as a swivel.', 'Solution Hydrogen/Deuterium Exchange Mass Spectrometry (HDX-MS) analysis reveals an increased mobility of the thumb subdomain of RdRp in the context of the full length NS5 protein which correlates well with the analysis of the crystallographic temperature factors.', 'Site-directed mutagenesis targeting the mostly polar interface between the MTase and RdRp domains identified several evolutionarily conserved residues that are important for viral replication, suggesting that inter-domain cross-talk in NS5 regulates virus replication.', 'Collectively, a picture for the molecular origin of NS5 flexibility is emerging with profound implications for flavivirus replication and for the development of therapeutics targeting NS5.', 'Singapore; NUS Graduate School for Integrative Sciences and Engineering, National University of Singapore, Singapore.', 'Novartis Institute for Tropical Diseases, Singapore. Singapore. Singapore. Singapore. of Singapore, Singapore; Department of Biological Sciences, National University of Singapore, Singapore.', ""UMRS CR7-CNRS ERL 8255-INSERM U1135 Centre d'Immunologie et des Maladies Infectieuses, Centre Hospitalier Universitaire Pitié-Salpêtrière, Faculté de Médecine Pierre et Marie Curie, Paris, France. Singapore; NUS Graduate School for Integrative Sciences and Engineering, National University of Singapore, Singapore.""]"
22439913,2012 Mar 22,A tetravalent dengue nanoparticle stimulates antibody production in mice.,"BACKGROUND: Dengue is a major public health problem worldwide, especially in the tropical and subtropical regions of the world. Infection with a single Dengue virus (DENV) serotype causes a mild, self-limiting febrile illness called dengue fever. However, a subset of patients experiencing secondary infection with a different serotype progresses to the severe form of the disease, dengue hemorrhagic fever/dengue shock syndrome. Currently, there are no licensed vaccines or antiviral drugs to prevent or treat dengue infections. Biodegradable nanoparticles coated with proteins represent a promising method for in vivo delivery of vaccines. FINDINGS: Here, we used a murine model to evaluate the IgG production after administration of inactivated DENV corresponding to all four serotypes adsorbed to bovine serum albumin nanoparticles. This formulation induced a production of anti-DENV IgG antibodies (p < 0.001). However, plaque reduction neutralization assays with the four DENV serotypes revealed that these antibodies have no neutralizing activity in the dilutions tested. CONCLUSIONS: Our results show that while the nanoparticle system induces humoral responses against DENV, further investigation with different DENV antigens will be required to improve immunogenicity, epitope specicity, and functional activity to make this platform a viable option for DENV vaccines. Brazil.","['Animals', 'Antibodies, Viral/*biosynthesis', 'Dengue Virus/growth & development/*immunology', 'Mice', 'Microscopy, Electron, Scanning', '*Nanoparticles', 'Neutralization Tests', 'Viral Plaque Assay']","['BACKGROUND: Dengue is a major public health problem worldwide, especially in the tropical and subtropical regions of the world.', 'Infection with a single Dengue virus (DENV) serotype causes a mild, self-limiting febrile illness called dengue fever.', 'However, a subset of patients experiencing secondary infection with a different serotype progresses to the severe form of the disease, dengue hemorrhagic fever/dengue shock syndrome.', 'Currently, there are no licensed vaccines or antiviral drugs to prevent or treat dengue infections.', 'Biodegradable nanoparticles coated with proteins represent a promising method for in vivo delivery of vaccines.', 'FINDINGS: Here, we used a murine model to evaluate the IgG production after administration of inactivated DENV corresponding to all four serotypes adsorbed to bovine serum albumin nanoparticles.', 'This formulation induced a production of anti-DENV IgG antibodies (p < 0.001).', 'However, plaque reduction neutralization assays with the four DENV serotypes revealed that these antibodies have no neutralizing activity in the dilutions tested.', 'CONCLUSIONS: Our results show that while the nanoparticle system induces humoral responses against DENV, further investigation with different DENV antigens will be required to improve immunogenicity, epitope specicity, and functional activity to make this platform a viable option for DENV vaccines.', 'Brazil', '.']"
26072288,2015 Oct,Membrane topology of NS2B of dengue virus revealed by NMR spectroscopy.,"Non-structural (NS) proteins of dengue virus (DENV) are important for viral replication. There are four membrane proteins that are coded by viral genome. NS2B was shown to be one of the membrane proteins and its main function was confirmed to regulate viral protease activity. Its membrane topology is still not known because only few studies have been conducted to understand its structure. Here we report the determination of membrane topology of NS2B from DENV serotype 4 using NMR spectroscopy. NS2B of DENV4 was expressed and purified in detergent micelles. The secondary structure of NS2B was first defined based on backbone chemical resonance assignment. Four helices were identified in NS2B. The membrane topology of NS2B was defined based on relaxation analysis and paramagnetic relaxation enhancement experiments. The last three helices were shown to be more stable than the first helix. The NS3 protease cofactor region between α2 and α3 is highly dynamic. Our results will be useful for further structural and functional analysis of NS2B. (A*STAR), 31 Biopolis Way, Nanos, #03-01, 138669, Singapore. Research (A*STAR), 1 Pesek Road, Jurong Island, Singapore 627833, Singapore. (A*STAR), 31 Biopolis Way, Nanos, #03-01, 138669, Singapore. (A*STAR), 31 Biopolis Way, Nanos, #03-01, 138669, Singapore. (A*STAR), 31 Biopolis Way, Nanos, #03-01, 138669, Singapore. Electronic address: cbkang@etc.a-star.edu.sg.","['Amino Acid Sequence', 'Cell Membrane/*chemistry/*ultrastructure', 'Dengue Virus/*metabolism/ultrastructure', 'Magnetic Resonance Spectroscopy/methods', 'Models, Chemical', 'Models, Molecular', 'Molecular Sequence Data', 'Protein Conformation', 'Viral Nonstructural Proteins/*chemistry/*ultrastructure']","['Non-structural (NS) proteins of dengue virus (DENV) are important for viral replication.', 'There are four membrane proteins that are coded by viral genome.', 'NS2B was shown to be one of the membrane proteins and its main function was confirmed to regulate viral protease activity.', 'Its membrane topology is still not known because only few studies have been conducted to understand its structure.', 'Here we report the determination of membrane topology of NS2B from DENV serotype 4 using NMR spectroscopy.', 'NS2B of DENV4 was expressed and purified in detergent micelles.', 'The secondary structure of NS2B was first defined based on backbone chemical resonance assignment.', 'Four helices were identified in NS2B.', 'The membrane topology of NS2B was defined based on relaxation analysis and paramagnetic relaxation enhancement experiments.', 'The last three helices were shown to be more stable than the first helix.', 'The NS3 protease cofactor region between α2 and α3 is highly dynamic.', 'Our results will be useful for further structural and functional analysis of NS2B.', '(A*STAR), 31 Biopolis Way, Nanos, #03-01, 138669, Singapore.', 'Research (A*STAR), 1 Pesek Road, Jurong Island, Singapore 627833, Singapore.', '(A*STAR), 31 Biopolis Way, Nanos, #03-01, 138669, Singapore.', '(A*STAR), 31 Biopolis Way, Nanos, #03-01, 138669, Singapore.', '(A*STAR), 31 Biopolis Way, Nanos, #03-01, 138669, Singapore.', 'Electronic address: cbkang@etc.a-star.edu.sg.']"
29377886,2018 Jan,"Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010.","Few data on dengue epidemiology are available for Lao PDR. Here, we provide information on the complexity of dengue epidemiology in the country, demonstrating dynamic circulation that varies over space and time, according to serotype. We recruited 1,912 consenting patients presenting with WHO dengue criteria at Mahosot Hospital, Vientiane (central Laos), between 2006 and 2010. Between 2008 and 2010, 1,413 patients with undifferentiated fever were also recruited at Luang Namtha (LNT) Provincial Hospital (northern Laos) and 555 at Salavan (SV) Provincial Hospital (southern Laos). We report significant variations in Dengue virus (DENV) circulation between the three sites. Peaks of DENV infection were observed in the rainy seasons, although 11% of confirmed cases in the provinces and 4.6% in the capital were detected during the dry and cool seasons (between December and February). Four DENV serotypes were detected among the 867 RT-PCR positive patients: 76.9% DENV-1, 9.6% DENV-2, 7.7% DENV-4 and 5.3% DENV-3. DENV-1 was the predominant serotype throughout the study except in LNT in 2008 and 2009 when it was DENV-2. Before July 2009, DENV-2 was not detected in SV and only rarely detected in Vientiane. DENV-3 and DENV-4 were commonly detected in Vientiane, before 2008 for DENV-4 and after 2009 for DENV-3. The phylogenetic analyses of DENV envelope sequences suggest concurrent multiple introductions of new strains as well as active DENV circulation throughout Laos and with neighboring countries. It is therefore of great importance to develop and strengthen a year-round nation-wide surveillance network in order to collect data that would allow anticipation of public health issues caused by the occurrence of large dengue outbreaks. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Medicine, University of Oxford, Churchill Hospital, Oxford, United Kingdom. -IHU Méditerranée Infection), Marseille, France. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. -IHU Méditerranée Infection), Marseille, France. -IHU Méditerranée Infection), Marseille, France. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Medicine, University of Oxford, Churchill Hospital, Oxford, United Kingdom. PDR. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Medicine, University of Oxford, Churchill Hospital, Oxford, United Kingdom. -IHU Méditerranée Infection), Marseille, France. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Medicine, University of Oxford, Churchill Hospital, Oxford, United Kingdom. -IHU Méditerranée Infection), Marseille, France.","['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Dengue/*epidemiology', 'Dengue Virus/*classification/genetics/*isolation & purification', 'Epidemiological Monitoring', 'Humans', 'Laos/epidemiology', 'Middle Aged', '*Molecular Epidemiology', 'Phylogeography', 'Seasons', '*Serogroup', 'Topography, Medical', 'Young Adult']","['Few data on dengue epidemiology are available for Lao PDR.', 'Here, we provide information on the complexity of dengue epidemiology in the country, demonstrating dynamic circulation that varies over space and time, according to serotype.', 'We recruited 1,912 consenting patients presenting with WHO dengue criteria at Mahosot Hospital, Vientiane (central Laos), between 2006 and 2010.', 'Between 2008 and 2010, 1,413 patients with undifferentiated fever were also recruited at Luang Namtha (LNT) Provincial Hospital (northern Laos) and 555 at Salavan (SV) Provincial Hospital (southern Laos).', 'We report significant variations in Dengue virus (DENV) circulation between the three sites.', 'Peaks of DENV infection were observed in the rainy seasons, although 11% of confirmed cases in the provinces and 4.6% in the capital were detected during the dry and cool seasons (between December and February).', 'Four DENV serotypes were detected among the 867 RT-PCR positive patients: 76.9% DENV-1, 9.6% DENV-2, 7.7% DENV-4 and 5.3% DENV-3.', 'DENV-1 was the predominant serotype throughout the study except in LNT in 2008 and 2009 when it was DENV-2.', 'Before July 2009, DENV-2 was not detected in SV and only rarely detected in Vientiane.', 'DENV-3 and DENV-4 were commonly detected in Vientiane, before 2008 for DENV-4 and after 2009 for DENV-3.', 'The phylogenetic analyses of DENV envelope sequences suggest concurrent multiple introductions of new strains as well as active DENV circulation throughout Laos and with neighboring countries.', 'It is therefore of great importance to develop and strengthen a year-round nation-wide surveillance network in order to collect data that would allow anticipation of public health issues caused by the occurrence of large dengue outbreaks.', 'Laboratory, Mahosot Hospital, Vientiane, Lao PDR.', 'Medicine, University of Oxford, Churchill Hospital, Oxford, United Kingdom. -IHU Méditerranée Infection), Marseille, France.', 'Laboratory, Mahosot Hospital, Vientiane, Lao PDR. -IHU Méditerranée Infection), Marseille, France. -IHU Méditerranée Infection), Marseille, France.', 'Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Medicine, University of Oxford, Churchill Hospital, Oxford, United Kingdom.', 'PDR. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Medicine, University of Oxford, Churchill Hospital, Oxford, United Kingdom.', '-IHU Méditerranée Infection), Marseille, France.', 'Laboratory, Mahosot Hospital, Vientiane, Lao PDR. Medicine, University of Oxford, Churchill Hospital, Oxford, United Kingdom. -IHU Méditerranée Infection), Marseille, France.']"
3831719,1985,"Comparison of dengue virus plaque reduction neutralization by macro and ""semi-micro' methods in LLC-MK2 cells.","A simplified ""semi-micro' plaque reduction neutralization test (PRNT) for dengue antibody in LLC-MK2 cells in disposable tissue culture plates is described. The assay compares favorably with the standard PRNT in glass prescription bottles, with relative sensitivity and specificity both 100% at a 1:40 screening dilution by 70% plaque reduction criteria. The assay is easy to perform, economical of time, expense, and storage space, and is suitable for study of sera available in small volumes, such as those obtained on filter paper or by the capillary method. The LLC-MK2 semi-micro PRNT is an acceptable alternative to the standard PRNT, particularly in laboratories that use these cells routinely for other tissue culture work and for flavivirus vaccine development.","['Antibodies, Viral/*analysis', 'Cell Line', 'Dengue Virus/growth & development/*immunology', 'Humans', 'Neutralization Tests', 'Viral Plaque Assay']","['A simplified ""semi-micro\' plaque reduction neutralization test (PRNT) for dengue antibody in LLC-MK2 cells in disposable tissue culture plates is described.', 'The assay compares favorably with the standard PRNT in glass prescription bottles, with relative sensitivity and specificity both 100% at a 1:40 screening dilution by 70% plaque reduction criteria.', 'The assay is easy to perform, economical of time, expense, and storage space, and is suitable for study of sera available in small volumes, such as those obtained on filter paper or by the capillary method.', 'The LLC-MK2 semi-micro PRNT is an acceptable alternative to the standard PRNT, particularly in laboratories that use these cells routinely for other tissue culture work and for flavivirus vaccine development.']"
15073678,2004 Apr 15,"Localization of dengue virus in naturally infected human tissues, by immunohistochemistry and in situ hybridization.","Dengue viral antigens have been demonstrated in several types of naturally infected human tissues, but little is known of whether these same tissues have detectable viral RNA. We studied tissue specimens from patients with serologically or virologically confirmed dengue infections by immunohistochemistry (IHC) and in situ hybridization (ISH), to localize viral antigen and RNA, respectively. IHC was performed on specimens obtained from 5 autopsies and 24 biopsies and on 20 blood-clot samples. For ISH, antisense riboprobes to the dengue E gene were applied to tissue specimens in which IHC was positive. Viral antigens were demonstrated in Kupffer and sinusoidal endothelial cells of the liver; macrophages, multinucleated cells, and reactive lymphoid cells in the spleen; macrophages and vascular endothelium in the lung; kidney tubules; and monocytes and lymphocytes in blood-clot samples. Positive-strand viral RNA was detected in the same IHC-positive cells found in the spleen and blood-clot samples. The strong, positive ISH signal in these cells indicated a high copy number of viral RNA, suggesting replication. Malaysia.","['Antigens, Viral/*analysis', 'Dengue/*virology', '*Dengue Virus/genetics/immunology/physiology', 'Humans', 'Immunohistochemistry', 'In Situ Hybridization', 'Kidney/virology', 'Liver/virology', 'Lung/virology', 'Lymphocytes/virology', 'RNA, Viral/*analysis', 'Spleen/virology', 'Virus Replication']","['Dengue viral antigens have been demonstrated in several types of naturally infected human tissues, but little is known of whether these same tissues have detectable viral RNA.', 'We studied tissue specimens from patients with serologically or virologically confirmed dengue infections by immunohistochemistry (IHC) and in situ hybridization (ISH), to localize viral antigen and RNA, respectively.', 'IHC was performed on specimens obtained from 5 autopsies and 24 biopsies and on 20 blood-clot samples.', 'For ISH, antisense riboprobes to the dengue E gene were applied to tissue specimens in which IHC was positive.', 'Viral antigens were demonstrated in Kupffer and sinusoidal endothelial cells of the liver; macrophages, multinucleated cells, and reactive lymphoid cells in the spleen; macrophages and vascular endothelium in the lung; kidney tubules; and monocytes and lymphocytes in blood-clot samples.', 'Positive-strand viral RNA was detected in the same IHC-positive cells found in the spleen and blood-clot samples.', 'The strong, positive ISH signal in these cells indicated a high copy number of viral RNA, suggesting replication.', 'Malaysia', '.']"
19656873,2009 Oct,Passage of dengue virus type 4 vaccine candidates in fetal rhesus lung cells selects heparin-sensitive variants that result in loss of infectivity and immunogenicity in rhesus macaques.,"Three dengue virus type 4 (DENV-4) vaccine candidates containing deletions in the 3' noncoding region were prepared by passage in DBS-FRhL-2 (FRhL) cells. Unexpectedly, these vaccine candidates and parental DENV-4 similarly passaged in the same cells failed to elicit either viremia or a virus-neutralizing antibody response. Consensus sequence analysis revealed that each of the three viruses, as well as the parental DENV-4 when passaged in FRhL cells, rapidly acquired a single Glu327-Gly substitution in domain III (DIII) of the envelope protein (E). These variants appear to have accumulated in response to growth adaptation to FRhL cells as shown by growth analysis, and the mutation was not detected in the virus following passage in C6/36 cells, primary African green monkey kidney cells, or Vero cells. The Glu327-Gly substitution was predicted by molecular modeling to increase the net positive charge on the surface of E. The Glu(327)-Gly variant of the full-length DENV-4 selected after three passages in FRhL cells showed increased affinity for heparan sulfate compared to the unpassaged DENV-4, as measured by heparin binding and infectivity inhibition assays. Evidence indicates that the Glu327-Gly mutation in DIII of the DENV-4 E protein was responsible for reduced infectivity and immunogenicity in rhesus monkeys. Our results point out the importance of cell substrates for vaccine preparation since the virus may change during passages in certain cells through adaptive selection, and such mutations may affect cell tropism, virulence, and vaccine efficacy. Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD 20892-8005, USA.","['Aedes/virology', 'Animals', 'Base Sequence', 'Cells, Cultured', 'Chlorocebus aethiops', 'Dengue Virus/genetics/*immunology/*pathogenicity/physiology', 'Epithelial Cells/*virology', 'Fibroblasts/*virology', '*Genetic Variation', 'Heparin/*pharmacology', 'Kidney/cytology/virology', 'Lung/cytology/virology', 'Macaca mulatta', 'Molecular Sequence Data', '*Mutation', 'Serial Passage', 'Vero Cells', '*Viral Vaccines']","[""Three dengue virus type 4 (DENV-4) vaccine candidates containing deletions in the 3' noncoding region were prepared by passage in DBS-FRhL-2 (FRhL) cells."", 'Unexpectedly, these vaccine candidates and parental DENV-4 similarly passaged in the same cells failed to elicit either viremia or a virus-neutralizing antibody response.', 'Consensus sequence analysis revealed that each of the three viruses, as well as the parental DENV-4 when passaged in FRhL cells, rapidly acquired a single Glu327-Gly substitution in domain III (DIII) of the envelope protein (E).', 'These variants appear to have accumulated in response to growth adaptation to FRhL cells as shown by growth analysis, and the mutation was not detected in the virus following passage in C6/36 cells, primary African green monkey kidney cells, or Vero cells.', 'The Glu327-Gly substitution was predicted by molecular modeling to increase the net positive charge on the surface of E. The Glu(327)-Gly variant of the full-length DENV-4 selected after three passages in FRhL cells showed increased affinity for heparan sulfate compared to the unpassaged DENV-4, as measured by heparin binding and infectivity inhibition assays.', 'Evidence indicates that the Glu327-Gly mutation in DIII of the DENV-4 E protein was responsible for reduced infectivity and immunogenicity in rhesus monkeys.', 'Our results point out the importance of cell substrates for vaccine preparation since the virus may change during passages in certain cells through adaptive selection, and such mutations may affect cell tropism, virulence, and vaccine efficacy.', 'Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD 20892-8005, USA.']"
21906394,2011 Sep 10,Serotype and genotype analysis of dengue virus by sequencing followed by phylogenetic analysis using samples from three mini outbreaks-2007-2009 in Pakistan.,"BACKGROUND: Since the first reported outbreak of dengue hemorrhagic fever in Pakistan, several mini outbreaks have erupted in the region. Dengue virus serotype 3 (DEN-3) was first documented in 2005 outbreak in Karachi. Reports show that serotype 3 is prevalent in Lahore since 2008. Serotype 2 (DEN-2) is the major circulating serotype in Pakistan as it is documented since 1994. We have conducted a detailed study of three outbreaks of dengue virus infection that occurred in years 2007, 2008 and 2009 in Lahore by using molecular techniques such as PCR and nucleotide sequencing of the C-prM gene junction of Dengue virus. RESULTS: Through the analysis of 114 serum samples collected over the period of three years (2007-2009), total 20 patients were found to be infected with dengue virus. In year 2007, four were positive for serotype 2 and one sample was positive for serotype DEN-3. In 2008, five samples had concurrent infection with serotypes DEN-2 and DEN-3 while three samples were infected only with serotype DEN-2. In year 2009, one sample had concurrent infection with serotypes DEN-2 and DEN-3 while six were positive for serotype DEN-2 only. CONCLUSIONS: Our study showed that serotype DEN-2 was dominant in positive samples of dengue virus infection collected during the period of three years (2007-2009). The other serotype present was serotype DEN-3. Genotypes of serotype DEN-2 and serotype DEN-3 were subtype IV and subtype III, respectively. Road, Thokar Niaz Baig, Lahore-53700, Pakistan.","['Bacterial Typing Techniques', 'Dengue Virus/*classification/genetics/*isolation & purification', 'Disease Outbreaks', 'Genotype', 'Humans', 'Molecular Sequence Data', 'Pakistan/epidemiology', '*Phylogeny', 'Polymerase Chain Reaction', 'Serotyping', 'Severe Dengue/*epidemiology/*virology', 'Viral Proteins/genetics']","['BACKGROUND: Since the first reported outbreak of dengue hemorrhagic fever in Pakistan, several mini outbreaks have erupted in the region.', 'Dengue virus serotype 3 (DEN-3) was first documented in 2005 outbreak in Karachi.', 'Reports show that serotype 3 is prevalent in Lahore since 2008.', 'Serotype 2 (DEN-2) is the major circulating serotype in Pakistan as it is documented since 1994.', 'We have conducted a detailed study of three outbreaks of dengue virus infection that occurred in years 2007, 2008 and 2009 in Lahore by using molecular techniques such as PCR and nucleotide sequencing of the C-prM gene junction of Dengue virus.', 'RESULTS: Through the analysis of 114 serum samples collected over the period of three years (2007-2009), total 20 patients were found to be infected with dengue virus.', 'In year 2007, four were positive for serotype 2 and one sample was positive for serotype DEN-3.', 'In 2008, five samples had concurrent infection with serotypes DEN-2 and DEN-3 while three samples were infected only with serotype DEN-2.', 'In year 2009, one sample had concurrent infection with serotypes DEN-2 and DEN-3 while six were positive for serotype DEN-2 only.', 'CONCLUSIONS: Our study showed that serotype DEN-2 was dominant in positive samples of dengue virus infection collected during the period of three years (2007-2009).', 'The other serotype present was serotype DEN-3.', 'Genotypes of serotype DEN-2 and serotype DEN-3 were subtype IV and subtype III, respectively.', 'Road, Thokar Niaz Baig, Lahore-53700, Pakistan.']"
22826483,2012 Sep,"Phylogenetic analysis of dengue virus types 1 and 4 circulating in Puerto Rico and Key West, Florida, during 2010 epidemics.","We describe sequences of six strains of dengue virus (DENV): three DENV-1 isolates and two DENV-4 isolates from Puerto Rico, and a DENV-1 strain from Key West, Florida, obtained from blood donors during 2010 epidemics. Phylogenetic analysis revealed that the Puerto Rico DENV-1 strains constitute a new lineage within genotype V different from those that circulated in Puerto Rico during the past two decades. The newer Puerto Rico DENV-1 strains associated with strains from the Caribbean and South America. The DENV-1 strain from Key West, Florida clustered with a strain isolated from mosquito pools collected in that area and with a number of strains from Nicaragua and Mexico circulating during 2006-2009. The Puerto Rico DENV-4 isolates of genotype II associated with strains that have circulated on the island throughout the 1980s and 1990s and with strains from the Caribbean region and Central America. Introduction and circulation of novel DENV lineages in dengue-endemic regions have the potential to increase the severity of dengue cases. Bethesda, MD 20892, USA. german.anez@fda.hhs.gov","['Dengue/*epidemiology/virology', 'Dengue Virus/*classification/genetics/*isolation & purification', '*Epidemics', 'Florida/epidemiology', 'Genotype', 'Humans', '*Phylogeny', 'Puerto Rico/epidemiology', 'Sequence Analysis, DNA']","['We describe sequences of six strains of dengue virus (DENV): three DENV-1 isolates and two DENV-4 isolates from Puerto Rico, and a DENV-1 strain from Key West, Florida, obtained from blood donors during 2010 epidemics.', 'Phylogenetic analysis revealed that the Puerto Rico DENV-1 strains constitute a new lineage within genotype V different from those that circulated in Puerto Rico during the past two decades.', 'The newer Puerto Rico DENV-1 strains associated with strains from the Caribbean and South America.', 'The DENV-1 strain from Key West, Florida clustered with a strain isolated from mosquito pools collected in that area and with a number of strains from Nicaragua and Mexico circulating during 2006-2009.', 'The Puerto Rico DENV-4 isolates of genotype II associated with strains that have circulated on the island throughout the 1980s and 1990s and with strains from the Caribbean region and Central America.', 'Introduction and circulation of novel DENV lineages in dengue-endemic regions have the potential to increase the severity of dengue cases.', 'Bethesda, MD 20892, USA. german.anez@fda.hhs.gov']"
